raw_query,cleaned_query,topic,topic_label,topic_label_final
i need help chatting with a person,i need help chatting with a person,12,Contact Live Agent,Contact Live Agent
i need help editing my personal information,i need help editing my personal information,25,Edit Account Information,Edit Account Information
i need help filing a bloody claim against your organization,i need help filing a  claim against your organization,20,Customer - Claim/Complaint,Customer - Claim/Complaint
i need help filing a complaint against ur company,i need help filing a complaint against your company,20,Customer - Claim/Complaint,Customer - Claim/Complaint
i need help filing a complaint against your business,i need help filing a complaint against your business,20,Customer - Claim/Complaint,Customer - Claim/Complaint
i need help filing a reclamation against your company,i need help filing a reclamation against your company,20,Customer - Claim/Complaint,Customer - Claim/Complaint
i need help leaving a review for your services,i need help leaving a review for your services,23,Leaving a Review,Leaving a Review
i need help lodging a complaint against your company,i need help lodging a complaint against your company,20,Customer - Claim/Complaint,Customer - Claim/Complaint
i need help making a reclamation against your company,i need help making a reclamation against your company,20,Customer - Claim/Complaint,Customer - Claim/Complaint
i need help modifying my personal details,i need help modifying my personal details,25,Edit Account Information,Edit Account Information
i need help regarding my registration,i need help regarding my registration,19,Registration Help & Issues,Registration Help & Issues
i need help regarding our registration,i need help regarding our registration,19,Registration Help & Issues,Registration Help & Issues
i need help regarding the registration,i need help regarding the registration,19,Registration Help & Issues,Registration Help & Issues
i need help removing some items,i need help removing some items,5,Account Termination Requests,Account Termination Requests
i need help reporting a payment issue,i need help reporting a payment issue,17,Payment Issues Assistance,Payment Issues Assistance
i need help reporting a registration issue,i need help reporting a registration issue,19,Registration Help & Issues,Registration Help & Issues
i need help reporting issues with payments,i need help reporting issues with payments,17,Payment Issues Assistance,Payment Issues Assistance
i need help reporting registration issues,i need help reporting registration issues,19,Registration Help & Issues,Registration Help & Issues
i need help solving issues with payment,i need help solving issues with payment,17,Payment Issues Assistance,Payment Issues Assistance
i need help solving payment issues,i need help solving payment issues,17,Payment Issues Assistance,Payment Issues Assistance
i need help speaking to a live agent,i need help speaking to a live agent,12,Contact Live Agent,Contact Live Agent
i need help switching user,i need help switching user,14,Switching Accounts,Switching Accounts
i need help talking to an agent,i need help talking to an agent,12,Contact Live Agent,Contact Live Agent
i need help talking with an assistant,i need help talking with an assistant,12,Contact Live Agent,Contact Live Agent
i need help to add several items,i need help to add several items,9,Order Modifications,Order Modifications
i need help to add some items,i need help to add some items,9,Order Modifications,Order Modifications
i need help to buy several items,i need help to buy several items,21,Buying Assistance,Buying Assistance
i need help to buy something,i need help to buy something,21,Buying Assistance,Buying Assistance
i need help to chat with a live agent,i need help to chat with a live agent,12,Contact Live Agent,Contact Live Agent
i need help to chat with an agent,i need help to chat with an agent,12,Contact Live Agent,Contact Live Agent
i need help to chat with someone,i need help to chat with someone,12,Contact Live Agent,Contact Live Agent
i need help to check the termination penalties,i need help to check the termination penalties,13,Cancellation Fees,Cancellation Fees
i need help to modify my personal information,i need help to modify my personal information,25,Edit Account Information,Edit Account Information
i need help to report a registration issue,i need help to report a registration issue,19,Registration Help & Issues,Registration Help & Issues
i need help to report registration issues,i need help to report registration issues,19,Registration Help & Issues,Registration Help & Issues
i need help to see the early termination charge,i need help to see the early termination charge,13,Cancellation Fees,Cancellation Fees
i need help to solve issues with payment,i need help to solve issues with payment,17,Payment Issues Assistance,Payment Issues Assistance
i need help to solve payment issues,i need help to solve payment issues,17,Payment Issues Assistance,Payment Issues Assistance
i need help with cancelling an order i have made,i need help with cancelling an order i have made,6,Order Cancellation,Order Cancellation
i need help with my registration,i need help with my registration,19,Registration Help & Issues,Registration Help & Issues
i need help with our registration,i need help with our registration,19,Registration Help & Issues,Registration Help & Issues
i need help with removing something,i need help with removing something,5,Account Termination Requests,Account Termination Requests
i need help with the registration,i need help with the registration,19,Registration Help & Issues,Registration Help & Issues
i need support regarding my online registration,i need support regarding my online registration,19,Registration Help & Issues,Registration Help & Issues
i need support with our online registration,i need support with our online registration,19,Registration Help & Issues,Registration Help & Issues
i need supports trying to edit my address,i need supports trying to edit my address,25,Edit Account Information,Edit Account Information
i need uspport regarding the online registration,i need support regarding the online registration,19,Registration Help & Issues,Registration Help & Issues
i needhelp to talk to a live agent,i need help to talk to a live agent,12,Contact Live Agent,Contact Live Agent
i no longer need these user i have to switch to my other one,i no longer need these user i have to switch to my other one,14,Switching Accounts,Switching Accounts
i put my old address by mistake,i put my old address by mistake,0,Change Delivery Address,Change Delivery Address
i put the old address by mistake,i put the old address by mistake,0,Change Delivery Address,Change Delivery Address
i try to add something,i try to add something,9,Order Modifications,Order Modifications
i try to buy something,i try to buy something,21,Buying Assistance,Buying Assistance
i try to check the eazrly termination penalty,i try to check the early termination penalty,13,Cancellation Fees,Cancellation Fees
i try to check what options for delivery you offer,i try to check what options for delivery you offer,4,Checking Delivery Options,Checking Delivery Options
i try to contact a live agent,i try to contact a live agent,12,Contact Live Agent,Contact Live Agent
i try to file a claim against your organization,i try to file a claim against your organization,20,Customer - Claim/Complaint,Customer - Claim/Complaint
i try to file a consumer reclamation against ur company,i try to file a consumer reclamation against your company,20,Customer - Claim/Complaint,Customer - Claim/Complaint
i try to report a registration issue,i try to report a registration issue,19,Registration Help & Issues,Registration Help & Issues
i try to report goddamn registration errors,i try to report  registration errors,19,Registration Help & Issues,Registration Help & Issues
i try to report issues with payments,i try to report issues with payments,17,Payment Issues Assistance,Payment Issues Assistance
i try to report payment issues,i try to report payment issues,17,Payment Issues Assistance,Payment Issues Assistance
i try to report registration errors,i try to report registration errors,19,Registration Help & Issues,Registration Help & Issues
i try to report registration issues,i try to report registration issues,19,Registration Help & Issues,Registration Help & Issues
i try to see the early termination penalties,i try to see the early termination penalties,13,Cancellation Fees,Cancellation Fees
i try to talk with an agent,i try to talk with an agent,12,Contact Live Agent,Contact Live Agent
i wan to chat with someone,i wan to chat with someone,12,Contact Live Agent,Contact Live Agent
i want an agent,i want an agent,12,Contact Live Agent,Contact Live Agent
i want assistance buying several items,i want assistance buying several items,21,Buying Assistance,Buying Assistance
i want assistance cancelling an order i have made,i want assistance cancelling an order i have made,6,Order Cancellation,Order Cancellation
i want assistance checking the early exit fee,i want assistance checking the early exit fee,13,Cancellation Fees,Cancellation Fees
i want assistance checking the early termination feees,i want assistance checking the early termination fees,13,Cancellation Fees,Cancellation Fees
i want assistance checking the goddamn early exit penalties,i want assistance checking the  early exit penalties,13,Cancellation Fees,Cancellation Fees
i want assistance checking the termination fee,i want assistance checking the termination fee,13,Cancellation Fees,Cancellation Fees
i want assistance checking the withdrawal fees,i want assistance checking the withdrawal fees,13,Cancellation Fees,Cancellation Fees
i want assistance editing my personal information,i want assistance editing my personal information,25,Edit Account Information,Edit Account Information
i want assistance filing a complaint against your business,i want assistance filing a complaint against your business,20,Customer - Claim/Complaint,Customer - Claim/Complaint
i want assistance leaving a review for a service,i want assistance leaving a review for a service,23,Leaving a Review,Leaving a Review
i want assistance leaving a review for your company,i want assistance leaving a review for your company,23,Leaving a Review,Leaving a Review
i want assistance leaving a review for your services,i want assistance leaving a review for your services,23,Leaving a Review,Leaving a Review
i want assistance lodging a claim against your organization,i want assistance lodging a claim against your organization,20,Customer - Claim/Complaint,Customer - Claim/Complaint
i want assistance reporting issues with payment,i want assistance reporting issues with payment,17,Payment Issues Assistance,Payment Issues Assistance
i want assistance reporting issues with payments,i want assistance reporting issues with payments,17,Payment Issues Assistance,Payment Issues Assistance
i want assistance reporting payment issues,i want assistance reporting payment issues,17,Payment Issues Assistance,Payment Issues Assistance
i want assistance seeing the early exit penalty,i want assistance seeing the early exit penalty,13,Cancellation Fees,Cancellation Fees
i want assistance solving a payment issue,i want assistance solving a payment issue,17,Payment Issues Assistance,Payment Issues Assistance
i want assistance solving issues with payment,i want assistance solving issues with payment,17,Payment Issues Assistance,Payment Issues Assistance
i want assistance solving payment issues,i want assistance solving payment issues,17,Payment Issues Assistance,Payment Issues Assistance
i want assistance switching user,i want assistance switching user,14,Switching Accounts,Switching Accounts
i want assistance talking to an agent,i want assistance talking to an agent,12,Contact Live Agent,Contact Live Agent
i want assistance to add several items,i want assistance to add several items,9,Order Modifications,Order Modifications
i want assistance to buy some items,i want assistance to buy some items,21,Buying Assistance,Buying Assistance
i want assistance to check the early termination fee,i want assistance to check the early termination fee,13,Cancellation Fees,Cancellation Fees
i want assistance to check the withdrawal fee,i want assistance to check the withdrawal fee,13,Cancellation Fees,Cancellation Fees
i want assistance to file a fucking consumer reclamation,i want assistance to file a  consumer reclamation,20,Customer - Claim/Complaint,Customer - Claim/Complaint
i want assistance to file a reclamation,i want assistance to file a reclamation,20,Customer - Claim/Complaint,Customer - Claim/Complaint
i want assistance to lodge a claim against your business,i want assistance to lodge a claim against your business,20,Customer - Claim/Complaint,Customer - Claim/Complaint
i want assistance to make a customer relcamation,i want assistance to make a customer reclamation,20,Customer - Claim/Complaint,Customer - Claim/Complaint
i want assistance to register,i want assistance to register,19,Registration Help & Issues,Registration Help & Issues
i want assistance to report a payment issue,i want assistance to report a payment issue,17,Payment Issues Assistance,Payment Issues Assistance
i want assistance to report a registration issue,i want assistance to report a registration issue,19,Registration Help & Issues,Registration Help & Issues
i want assistance to report issues with payment,i want assistance to report issues with payment,17,Payment Issues Assistance,Payment Issues Assistance
i want assistance to report registration issues,i want assistance to report registration issues,19,Registration Help & Issues,Registration Help & Issues
i want assistance to reset my access key,i want assistance to reset my access key,16,Password Recovery,Password Recovery
i want assistance to see the withdrawal penalties,i want assistance to see the withdrawal penalties,13,Cancellation Fees,Cancellation Fees
i want assistance to solve issues with payment,i want assistance to solve issues with payment,17,Payment Issues Assistance,Payment Issues Assistance
i want assistance to talk to an agent,i want assistance to talk to an agent,12,Contact Live Agent,Contact Live Agent
i want assistance to talk to somebody,i want assistance to talk to somebody,12,Contact Live Agent,Contact Live Agent
i want help buying some items,i want help buying some items,21,Buying Assistance,Buying Assistance
i want help buying something,i want help buying something,21,Buying Assistance,Buying Assistance
i want help cancelling an order i have made,i want help cancelling an order i have made,6,Order Cancellation,Order Cancellation
i want help chatting with a live agent,i want help chatting with a live agent,12,Contact Live Agent,Contact Live Agent
i want help chatting with someone,i want help chatting with someone,12,Contact Live Agent,Contact Live Agent
i want help checking the damn termination penalties,i want help checking the  termination penalties,13,Cancellation Fees,Cancellation Fees
i want help checking the termination fee,i want help checking the termination fee,13,Cancellation Fees,Cancellation Fees
i want help checking what options for delivery you offer,i want help checking what options for delivery you offer,4,Checking Delivery Options,Checking Delivery Options
i want help editing my personal information,i want help editing my personal information,25,Edit Account Information,Edit Account Information
i want help filing a complaint against your business,i want help filing a complaint against your business,20,Customer - Claim/Complaint,Customer - Claim/Complaint
i want help regarding my registration,i want help regarding my registration,19,Registration Help & Issues,Registration Help & Issues
i want help regarding our registration,i want help regarding our registration,19,Registration Help & Issues,Registration Help & Issues
i want help regarding the registration,i want help regarding the registration,19,Registration Help & Issues,Registration Help & Issues
i want help registering,i want help registering,19,Registration Help & Issues,Registration Help & Issues
i want help reporting a registration issue,i want help reporting a registration issue,19,Registration Help & Issues,Registration Help & Issues
i want help reporting issues with payment,i want help reporting issues with payment,17,Payment Issues Assistance,Payment Issues Assistance
i want help reporting issues with payments,i want help reporting issues with payments,17,Payment Issues Assistance,Payment Issues Assistance
i want help reporting payment issues,i want help reporting payment issues,17,Payment Issues Assistance,Payment Issues Assistance
i want help reporting registration issues,i want help reporting registration issues,19,Registration Help & Issues,Registration Help & Issues
i want help seeing the withdrawal fees,i want help seeing the withdrawal fees,13,Cancellation Fees,Cancellation Fees
i want help solving a payment issue,i want help solving a payment issue,17,Payment Issues Assistance,Payment Issues Assistance
i want help solving issues with payment,i want help solving issues with payment,17,Payment Issues Assistance,Payment Issues Assistance
i want help solving payment issues,i want help solving payment issues,17,Payment Issues Assistance,Payment Issues Assistance
i want help switching user,i want help switching user,14,Switching Accounts,Switching Accounts
i want help talking to an agent,i want help talking to an agent,12,Contact Live Agent,Contact Live Agent
i want help to add some items,i want help to add some items,9,Order Modifications,Order Modifications
i want help to add something,i want help to add something,9,Order Modifications,Order Modifications
i want help to buy several items,i want help to buy several items,21,Buying Assistance,Buying Assistance
i want help to buy some items,i want help to buy some items,21,Buying Assistance,Buying Assistance
i want help to buy something,i want help to buy something,21,Buying Assistance,Buying Assistance
i want help to check what options for delivery you offer,i want help to check what options for delivery you offer,4,Checking Delivery Options,Checking Delivery Options
i want help to register,i want help to register,19,Registration Help & Issues,Registration Help & Issues
i want help to report issues with payment,i want help to report issues with payment,17,Payment Issues Assistance,Payment Issues Assistance
i want help to report issues with payments,i want help to report issues with payments,17,Payment Issues Assistance,Payment Issues Assistance
i want help to report payment issues,i want help to report payment issues,17,Payment Issues Assistance,Payment Issues Assistance
i want help to report registration errors,i want help to report registration errors,19,Registration Help & Issues,Registration Help & Issues
i want help to see the early exit charges,i want help to see the early exit charges,13,Cancellation Fees,Cancellation Fees
i want help to solve a payment issue,i want help to solve a payment issue,17,Payment Issues Assistance,Payment Issues Assistance
i want help to solve issues with payment,i want help to solve issues with payment,17,Payment Issues Assistance,Payment Issues Assistance
i want help to solve issues with payments,i want help to solve issues with payments,17,Payment Issues Assistance,Payment Issues Assistance
i want help to speak with a live agent,i want help to speak with a live agent,12,Contact Live Agent,Contact Live Agent
i want help to talk to an agent,i want help to talk to an agent,12,Contact Live Agent,Contact Live Agent
i want help updating some or my user details,i want help updating some or my user details,25,Edit Account Information,Edit Account Information
i want help with my registration,i want help with my registration,19,Registration Help & Issues,Registration Help & Issues
i want help with our registration,i want help with our registration,19,Registration Help & Issues,Registration Help & Issues
i want help with the registration,i want help with the registration,19,Registration Help & Issues,Registration Help & Issues
i want my goddamn reimburfsement,i want my  reimbursement,1,Refunds Related Help,Refunds Related Help
i want support with my online reegistration,i want support with my online registration,19,Registration Help & Issues,Registration Help & Issues
i want supports modifying my address,i want supports modifying my address,0,Change Delivery Address,Change Delivery Address
i want to buy some items,i want to buy some items,21,Buying Assistance,Buying Assistance
i want to buy something,i want to buy something,21,Buying Assistance,Buying Assistance
"i want to change the details on my profile, i need help","i want to change the details on my profile, i need help",26,Changing User Profiles,Changing User Profiles
i want to chat with somebody,i want to chat with somebody,12,Contact Live Agent,Contact Live Agent
i want to check the early exit fee,i want to check the early exit fee,13,Cancellation Fees,Cancellation Fees
i want to check the early termination fees,i want to check the early termination fees,13,Cancellation Fees,Cancellation Fees
i want to check what options for delivery you offer,i want to check what options for delivery you offer,4,Checking Delivery Options,Checking Delivery Options
i want to correct my user dfata,i want to correct my user data,25,Edit Account Information,Edit Account Information
i want to register,i want to register,19,Registration Help & Issues,Registration Help & Issues
i want to remove several items,i want to remove several items,5,Account Termination Requests,Order Modifications
i want to report a registration issue,i want to report a registration issue,19,Registration Help & Issues,Registration Help & Issues
i want to report issues with payment,i want to report issues with payment,17,Payment Issues Assistance,Payment Issues Assistance
i want to report issues with payments,i want to report issues with payments,17,Payment Issues Assistance,Payment Issues Assistance
i want to report payment issues,i want to report payment issues,17,Payment Issues Assistance,Payment Issues Assistance
i want to report registration issues,i want to report registration issues,19,Registration Help & Issues,Registration Help & Issues
"i want to unsubscribe from your newsletter, i need help","i want to unsubscribe from your newsletter, i need help",18,Newsletter Management,Newsletter Management
i would like to buy something,i would like to buy something,21,Buying Assistance,Buying Assistance
i would like to remove something,i would like to remove something,5,Account Termination Requests,Order Modifications
i would like to report a payment issue,i would like to report a payment issue,17,Payment Issues Assistance,Payment Issues Assistance
i would like to report a registration issue,i would like to report a registration issue,19,Registration Help & Issues,Registration Help & Issues
i would like to report issues with payments,i would like to report issues with payments,17,Payment Issues Assistance,Payment Issues Assistance
i would like to talk to an agent,i would like to talk to an agent,12,Contact Live Agent,Contact Live Agent
i'm looking for information about modifying my address,i'm looking for information about modifying my address,25,Edit Account Information,Edit Account Information
i'm looking for information about the access key retrieval,i'm looking for information about the access key retrieval,16,Password Recovery,Password Recovery
i'm looking for information about the key reset,i'm looking for information about the key reset,16,Password Recovery,Password Recovery
i'm not happy with ur service file a customer reclamation,i'm not happy with your service file a customer reclamation,20,Customer - Claim/Complaint,Customer - Claim/Complaint
i'm not happy with ur work i wanna make a reclamation,i'm not happy with your work i want to make a reclamation,20,Customer - Claim/Complaint,Customer - Claim/Complaint
i'm not ur client i need help registering,i'm not your client i need help registering,19,Registration Help & Issues,Registration Help & Issues
i'm trying to correct the user info,i'm trying to correct the user information,25,Edit Account Information,Edit Account Information
i'm trying to lodge an reclamation,i'm trying to lodge an reclamation,20,Customer - Claim/Complaint,Customer - Claim/Complaint
i'm trying to speak wiht an assistant,i'm trying to speak with an assistant,12,Contact Live Agent,Contact Live Agent
i'm tryying to see the early exit fees,i'm trying to see the early exit fees,13,Cancellation Fees,Cancellation Fees
information about the lost key,information about the lost key,16,Password Recovery,Password Recovery
is it possible to buy something?,is it possible to buy something?,21,Buying Assistance,Buying Assistance
is it possible to cancel the order i have made?,is it possible to cancel the order i have made?,6,Order Cancellation,Order Cancellation
is it possible to chat with someone?,is it possible to chat with someone?,12,Contact Live Agent,Contact Live Agent
is it possible to check the early termimation penalties?,is it possible to check the early termination penalties?,13,Cancellation Fees,Cancellation Fees
is it possible to check the termination fees,is it possible to check the termination fees,13,Cancellation Fees,Cancellation Fees
is it possible to check what options for delivery you offer?,is it possible to check what options for delivery you offer?,4,Checking Delivery Options,Checking Delivery Options
is it possible to register?,is it possible to register?,19,Registration Help & Issues,Registration Help & Issues
is it possible to report a registration issue?,is it possible to report a registration issue?,19,Registration Help & Issues,Registration Help & Issues
is it possible to report issues with payment?,is it possible to report issues with payment?,17,Payment Issues Assistance,Payment Issues Assistance
is it possible to report issues with payments?,is it possible to report issues with payments?,17,Payment Issues Assistance,Payment Issues Assistance
is it possible to report payment issues?,is it possible to report payment issues?,17,Payment Issues Assistance,Payment Issues Assistance
is it possible to report registration issues?,is it possible to report registration issues?,19,Registration Help & Issues,Registration Help & Issues
is it possible to see the withdrawal penalty?,is it possible to see the withdrawal penalty?,13,Cancellation Fees,Cancellation Fees
is it possible to talk to a live agent?,is it possible to talk to a live agent?,12,Contact Live Agent,Contact Live Agent
is it possible to talk to an agent?,is it possible to talk to an agent?,12,Contact Live Agent,Contact Live Agent
issue with payment,issue with payment,17,Payment Issues Assistance,Payment Issues Assistance
issue with registration,issue with registration,19,Registration Help & Issues,Registration Help & Issues
issues with payment,issues with payment,17,Payment Issues Assistance,Payment Issues Assistance
issues with registration,issues with registration,19,Registration Help & Issues,Registration Help & Issues
making claim against your company,making claim against your company,20,Customer - Claim/Complaint,Customer - Claim/Complaint
moidfying user details,modifying user details,25,Edit Account Information,Edit Account Information
my address has changed help me changing it,my address has changed help me changing it,0,Change Delivery Address,Change Delivery Address
need assistance checking the early termination charge,need assistance checking the early termination charge,13,Cancellation Fees,Cancellation Fees
need assistance seeing the termination charges,need assistance seeing the termination charges,13,Cancellation Fees,Cancellation Fees
need assistance talking to an operator,need assistance talking to an operator,12,Contact Live Agent,Contact Live Agent
need assistance to chat with a live agent,need assistance to chat with a live agent,12,Contact Live Agent,Contact Live Agent
need assistance to check the early exit fees,need assistance to check the early exit fees,13,Cancellation Fees,Cancellation Fees
need assistance to contact a goddamn live agent,need assistance to contact a  live agent,12,Contact Live Agent,Contact Live Agent
need assistance to speak with somebody,need assistance to speak with somebody,12,Contact Live Agent,Contact Live Agent
need hbelp making a reclamation against your organization,need help making a reclamation against your organization,20,Customer - Claim/Complaint,Customer - Claim/Complaint
need help correcting my user information,need help correcting my user information,25,Edit Account Information,Edit Account Information
need help filing a claim against ur organization,need help filing a claim against your organization,20,Customer - Claim/Complaint,Customer - Claim/Complaint
need help filing a consumer reclamation against ur company,need help filing a consumer reclamation against your company,20,Customer - Claim/Complaint,Customer - Claim/Complaint
need help lodging a reclamation against ur organization,need help lodging a reclamation against your organization,20,Customer - Claim/Complaint,Customer - Claim/Complaint
need help making a claim against your organization,need help making a claim against your organization,20,Customer - Claim/Complaint,Customer - Claim/Complaint
need help seeing the withdrawal penalties,need help seeing the withdrawal penalties,13,Cancellation Fees,Cancellation Fees
need help speaking to fucking customer assistance,need help speaking to  customer assistance,8,Customer Service Contact & Hours,Customer Service Contact & Hours
need help talking to somebody,need help talking to somebody,12,Contact Live Agent,Contact Live Agent
need help to make a reclamation against ur company,need help to make a reclamation against your company,20,Customer - Claim/Complaint,Customer - Claim/Complaint
need help to talk with somebody,need help to talk with somebody,12,Contact Live Agent,Contact Live Agent
need to chat with a live agent,need to chat with a live agent,12,Contact Live Agent,Contact Live Agent
need to file a consumer reclamation against ur business,need to file a consumer reclamation against your business,20,Customer - Claim/Complaint,Customer - Claim/Complaint
need to see the termination fees help me,need to see the termination fees help me,13,Cancellation Fees,Cancellation Fees
need to update some of my bloody personal details,need to update some of my  personal details,25,Edit Account Information,Edit Account Information
problem with cancelling an order i have made,problem with cancelling an order i have made,6,Order Cancellation,Order Cancellation
question about cancelling an order i have made,question about cancelling an order i have made,6,Order Cancellation,Order Cancellation
question about my payment,question about my payment,17,Payment Issues Assistance,Payment Issues Assistance
question about my registration,question about my registration,19,Registration Help & Issues,Registration Help & Issues
registration help,registration help,19,Registration Help & Issues,Registration Help & Issues
registration issue,registration issue,19,Registration Help & Issues,Registration Help & Issues
registration issues,registration issues,19,Registration Help & Issues,Registration Help & Issues
report a registration issue,report a registration issue,19,Registration Help & Issues,Registration Help & Issues
report issue with payment,report issue with payment,17,Payment Issues Assistance,Payment Issues Assistance
report issue with payments,report issue with payments,17,Payment Issues Assistance,Payment Issues Assistance
report issues with payment,report issues with payment,17,Payment Issues Assistance,Payment Issues Assistance
report issues with payments,report issues with payments,17,Payment Issues Assistance,Payment Issues Assistance
report issues with registration,report issues with registration,19,Registration Help & Issues,Registration Help & Issues
report payment issue,report payment issue,17,Payment Issues Assistance,Payment Issues Assistance
report payment issues,report payment issues,17,Payment Issues Assistance,Payment Issues Assistance
report registration issue,report registration issue,19,Registration Help & Issues,Registration Help & Issues
report registration issues,report registration issues,19,Registration Help & Issues,Registration Help & Issues
reporting errors with online registration,reporting errors with online registration,19,Registration Help & Issues,Registration Help & Issues
reporting issue with payment,reporting issue with payment,17,Payment Issues Assistance,Payment Issues Assistance
reporting issue with payments,reporting issue with payments,17,Payment Issues Assistance,Payment Issues Assistance
reporting issue with registration,reporting issue with registration,19,Registration Help & Issues,Registration Help & Issues
reporting issues with registration,reporting issues with registration,19,Registration Help & Issues,Registration Help & Issues
reporting payment issues,reporting payment issues,17,Payment Issues Assistance,Payment Issues Assistance
reporting registration issue,reporting registration issue,19,Registration Help & Issues,Registration Help & Issues
reporting registration issues,reporting registration issues,19,Registration Help & Issues,Registration Help & Issues
review for a service,review for a service,23,Leaving a Review,Leaving a Review
review for your company,review for your company,23,Leaving a Review,Leaving a Review
review for your services,review for your services,23,Leaving a Review,Leaving a Review
see the termination fee,see the termination fee,13,Cancellation Fees,Cancellation Fees
seeing early termination charge,seeing early termination charge,13,Cancellation Fees,Cancellation Fees
show me what options for delivery you offer,show me what options for delivery you offer,4,Checking Delivery Options,Checking Delivery Options
solve a payment issue,solve a payment issue,17,Payment Issues Assistance,Payment Issues Assistance
solve issues with payments,solve issues with payments,17,Payment Issues Assistance,Payment Issues Assistance
solve payment issues,solve payment issues,17,Payment Issues Assistance,Payment Issues Assistance
speaking with agent,speaking with agent,12,Contact Live Agent,Contact Live Agent
support with registration,support with registration,19,Registration Help & Issues,Registration Help & Issues
switching to another user,switching to another user,14,Switching Accounts,Switching Accounts
switching user,switching user,14,Switching Accounts,Switching Accounts
uare not being helpful i have to contact someone,you are not being helpful i have to contact someone,12,Contact Live Agent,Contact Live Agent
uare not helpful at all need help to speak with someody,you are not helpful at all need help to speak with somebody,12,Contact Live Agent,Contact Live Agent
uare not helpful i wanmt help to speak with a person,you are not helpful i want help to speak with a person,12,Contact Live Agent,Contact Live Agent
uarenot being helpful i want help to speak with someone,you are not being helpful i want help to speak with someone,12,Contact Live Agent,Contact Live Agent
using another user,using another user,14,Switching Accounts,Switching Accounts
wanna check the termination fee,want to check the termination fee,13,Cancellation Fees,Cancellation Fees
wanna speak to customer assistance,want to speak to customer assistance,8,Customer Service Contact & Hours,Customer Service Contact & Hours
wanna update the fucking details on my profile help me,want to update the  details on my profile help me,25,Edit Account Information,Edit Account Information
want assistance seeing the early termination fee,want assistance seeing the early termination fee,13,Cancellation Fees,Cancellation Fees
want assistance seeing the withdrawal fee,want assistance seeing the withdrawal fee,13,Cancellation Fees,Cancellation Fees
want assistance speaking with a bloody live agent,want assistance speaking with a  live agent,12,Contact Live Agent,Contact Live Agent
want assistance talking with a person,want assistance talking with a person,12,Contact Live Agent,Contact Live Agent
want assistance to restor my pass,want assistance to restore my pass,16,Password Recovery,Password Recovery
want help seeing the termination charges,want help seeing the termination charges,13,Cancellation Fees,Cancellation Fees
want help seeing the withdrawal fee,want help seeing the withdrawal fee,13,Cancellation Fees,Cancellation Fees
want help talking with somebody,want help talking with somebody,12,Contact Live Agent,Contact Live Agent
want help to inform of a registration issue,want help to inform of a registration issue,19,Registration Help & Issues,Registration Help & Issues
want help to make a reclamation,want help to make a reclamation,20,Customer - Claim/Complaint,Customer - Claim/Complaint
want help to notify of registration problems,want help to notify of registration problems,19,Registration Help & Issues,Registration Help & Issues
want supports trying to change my damn address,want supports trying to change my  address,0,Change Delivery Address,Change Delivery Address
what are the charges for breaking the contract?,what are the charges for breaking the contract?,13,Cancellation Fees,Cancellation Fees
what are the fees for breaking the contract?,what are the fees for breaking the contract?,13,Cancellation Fees,Cancellation Fees
what do i have to do to buy some items?,what do i have to do to buy some items?,21,Buying Assistance,Buying Assistance
what do i have to do to check the withdrawal penalties,what do i have to do to check the withdrawal penalties,13,Cancellation Fees,Cancellation Fees
what do i have to do to make a consumer reclamation?,what do i have to do to make a consumer reclamation?,20,Customer - Claim/Complaint,Customer - Claim/Complaint
what do i have to do to register?,what do i have to do to register?,19,Registration Help & Issues,Registration Help & Issues
what do i have to do to report issues with payments?,what do i have to do to report issues with payments?,17,Payment Issues Assistance,Payment Issues Assistance
what do i have to do to report payment issues?,what do i have to do to report payment issues?,17,Payment Issues Assistance,Payment Issues Assistance
what do i have to do to report registration issues?,what do i have to do to report registration issues?,19,Registration Help & Issues,Registration Help & Issues
what do i have to do to talk to an agent?,what do i have to do to talk to an agent?,12,Contact Live Agent,Contact Live Agent
what do i have to do to talk to someone,what do i have to do to talk to someone,12,Contact Live Agent,Contact Live Agent
what is the charge for breaking the contract?,what is the charge for breaking the contract?,13,Cancellation Fees,Cancellation Fees
what time is customer assistance available?,what time is customer assistance available?,8,Customer Service Contact & Hours,Customer Service Contact & Hours
where could i buy some items?,where could i buy some items?,21,Buying Assistance,Buying Assistance
where could i file a reclamation,where could i file a reclamation,20,Customer - Claim/Complaint,Customer - Claim/Complaint
where could i report a registration issue?,where could i report a registration issue?,19,Registration Help & Issues,Registration Help & Issues
where could i report issues with payments?,where could i report issues with payments?,17,Payment Issues Assistance,Payment Issues Assistance
where could i report registration issues?,where could i report registration issues?,19,Registration Help & Issues,Registration Help & Issues
where do i buy some items?,where do i buy some items?,21,Buying Assistance,Buying Assistance
where do i check the early exit penalties,where do i check the early exit penalties,13,Cancellation Fees,Cancellation Fees
where do i check the options for delivery?,where do i check the options for delivery?,4,Checking Delivery Options,Checking Delivery Options
where do i inform of registration issues,where do i inform of registration issues,19,Registration Help & Issues,Registration Help & Issues
where do i lodge a reclamation against your organization?,where do i lodge a reclamation against your organization?,20,Customer - Claim/Complaint,Customer - Claim/Complaint
where do i receive the newsletter?,where do i receive the newsletter?,18,Newsletter Management,Newsletter Management
where do i report a payment issue?,where do i report a payment issue?,17,Payment Issues Assistance,Payment Issues Assistance
where do i report a registration issue?,where do i report a registration issue?,19,Registration Help & Issues,Registration Help & Issues
